Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Availability_365,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Amenities,Host_id,Host_name,Street,Country,Country_code,Location_type,Longitude,Latitude,Is_location_exact
Boutique room with attached private bathroom,Apartment,Private room,Real Bed,2,12,flexible,1,1.0,1.0,126,80.0,0.0,50.0,0.0,1.0,0,95.0,"TV, Wifi, Kitchen, Free parking on premises, Washer, Dryer, Smoke detector, Essentials, Hangers, Hair dryer, Iron",61077001,Sunaina,"Wollstonecraft, NSW, Australia",Australia,AU,Point,151.19796,-33.83002,True
European Bedroom in the heart of Causeway Bay,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,447.0,0.0,200.0,100.0,1.0,2,100.0,"TV, Wifi, Air conditioning, Kitchen, Elevator, Washer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Iron, Private entrance, Hot water, Refrigerator, Cooking basics, Oven, Stove, Luggage dropoff allowed",94236203,Julius,"Hong Kong Island, Hong Kong Island, Hong Kong",Hong Kong,HK,Point,114.18371,22.27881,False
"Stylish, modern, clean house centrally located",House,Private room,Real Bed,4,80,flexible,1,1.0,1.0,0,82.0,150.0,30.0,50.0,1.0,1,100.0,"Wifi, Air conditioning, Kitchen, Heating, Washer, Dryer, Smoke detector, First aid kit, Essentials, Hair dryer, Iron",226886717,Kirsten,"Redfern, NSW, Australia",Australia,AU,Point,151.21059,-33.89388,True
Masion Petit Paris - Studio,Apartment,Private room,Real Bed,2,14,strict_14_with_grace_period,2,1.0,1.0,10,50.0,509.4304235090752,94.07480119284294,0.0,1.0,10,92.0,"Wifi, Free street parking, Heating, Washer, Dryer, Smoke detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Garden or backyard, Luggage dropoff allowed, Host greets you",56431648,Bee,"Montréal, Québec, Canada",Canada,CA,Point,-73.56925,45.51481,True
Sydney Inner West room. Single or King bed,Apartment,Private room,Real Bed,2,1125,flexible,2,1.0,1.0,0,40.0,509.4304235090752,94.07480119284294,0.0,1.0,4,95.0,"Wifi, Kitchen, Washer, Smoke detector, Essentials, Shampoo, Iron, Laptop friendly workspace, Private living room",31964708,Mark,"Summer Hill, NSW, Australia",Australia,AU,Point,151.13403,-33.88921,True
"Good Home! Near Downtown Montreal, Unlimited Wifi",Apartment,Private room,Real Bed,2,240,flexible,6,2.0,4.0,365,20.0,0.0,0.0,19.0,1.0,1,40.0,"TV, Wifi, Kitchen, Gym, Breakfast, Free street parking, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Private entrance, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Garden or backyard, Luggage dropoff allowed, Long term stays allowed, Cleaning before checkout",124221126,Sister Mariam,"Montréal, Québec, Canada",Canada,CA,Point,-73.6332,45.43943,True
Lovely appartament between Copa and Ipanema!,Apartment,Entire home/apt,Real Bed,5,15,flexible,3,1.0,1.0,118,295.0,0.0,180.0,95.0,1.0,0,95.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Smoking allowed, Elevator, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Beachfront",50800875,Suellen,"Rio de Janeiro , RJ, Brazil",Brazil,BR,Point,-43.192401935888654,-22.985061210067524,False
One bedroom house with bathroom,House,Private room,Real Bed,3,25,flexible,1,1.0,1.0,180,50.0,509.4304235090752,94.07480119284294,0.0,1.0,1,80.0,"Wifi, Air conditioning, Kitchen, Free parking on premises, Pets allowed, Breakfast, Hot tub, Heating, Smoke detector, Essentials, Shampoo, Hangers",223269218,Grace,"Ropes Crossing, NSW, Australia",Australia,AU,Point,150.78565,-33.73814,True
COZY APARTMENT IN OUTREMONT - MILE END,Apartment,Entire home/apt,Real Bed,2,1125,moderate,4,2.0,2.0,0,119.0,0.0,50.0,0.0,1.0,0,95.0,"TV, Wifi, Kitchen, Heating, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Private entrance, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove",16608948,Audrey,"Montréal, Québec, Canada",Canada,CA,Point,-73.60952,45.52078,True
1+1 rezidans dairesi kadıköy fikirtepe,Apartment,Entire home/apt,Real Bed,2,10,moderate,2,1.0,1.0,88,148.0,509.4304235090752,94.07480119284294,0.0,1.0,3,93.0,"TV, Wifi, Air conditioning, Kitchen, Smoking allowed, Pets allowed, Elevator, Heating, Washer, Smoke detector, Essentials, Shampoo, Hangers, Iron, Hot water",161548519,Ilyas,"Kadıköy, İstanbul, Turkey",Turkey,TR,Point,29.06485,40.99298,False
Studio 12 square meters(penthouse),Apartment,Entire home/apt,Real Bed,32,1124,strict_14_with_grace_period,1,1.0,1.0,331,45.0,200.0,50.0,0.0,1.0,33,94.0,"TV, Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Washer, Essentials, Shampoo, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Long term stays allowed, Host greets you",15386114,Jordi,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.13564,41.37356,True
Quarto na Tijuca próximo ao metro,Villa,Private room,Real Bed,1,7,flexible,1,1.0,1.0,363,41.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Wifi, Kitchen, Smoking allowed, Pets allowed, Washer, Essentials, Lock on bedroom door, Hangers, Iron, Laptop friendly workspace, Private living room, Hot water",226397735,Matheus,"Tijuca, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.24694348253448,-22.928687490237493,True
Panoramic Seaview “Pi(π) House Bosphorus” Cihangir,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,10,3.0,7.0,288,464.0,0.0,262.0,131.0,3.0,15,99.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Elevator, Free street parking, Heating, Washer, Dryer, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Children’s books and toys, Crib, Room-darkening shades, Hot water, Bed linens, Extra pillows and blankets, Pocket wifi, Microwave, Coffee maker, Refrigerator, Dishwasher, Cooking basics, Oven, Luggage dropoff allowed, Long term stays allowed, Well-lit path to entrance, Step-free access, Wide clearance to bed, Step-free access, Step-free access, Host greets you, Beachfront",126307328,Recep,"Taksim, İstanbul, Turkey",Turkey,TR,Point,28.9872,41.03188,False
Excelente estúdio no coração do posto 6,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,0.0,1.0,360,149.0,509.4304235090752,94.07480119284294,0.0,1.0,5,88.0,"TV, Wifi, Air conditioning, Kitchen, Smoking allowed, Elevator, Fire extinguisher, Essentials, Laptop friendly workspace, Private entrance",14335042,Marcella,"Copacabana, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.193566035844455,-22.98451387004615,True
Quarto  Póvoa de Varzim  somente para mulheres,Apartment,Private room,Real Bed,15,1125,flexible,1,1.0,1.0,365,17.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Wifi, Kitchen, Smoking allowed, Elevator, Washer, Private living room, Host greets you, Beachfront",78726786,Sara,"Póvoa de Varzim, Porto, Portugal",Portugal,PT,Point,-8.77139,41.38328,True
Smart Luxury KissMe 2BR balcony,Serviced apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,2.0,3.0,357,129.0,500.0,80.0,25.0,2.0,46,94.0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Paid parking off premises, Doorman, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Safety card, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff, High chair, Babysitter recommendations, Pack ’n Play/travel crib, Room-darkening shades, Hot water, Bed linens, Extra pillows and blankets, Pocket wifi, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Patio or balcony, Luggage dropoff allowed, Long term stays allowed, Paid parking on premises",1435464,Jaume,"Barcelona, Barcelona, Spain",Spain,ES,Point,2.15117,41.38058,True
Specious 160m apartment,Apartment,Private room,Real Bed,3,1125,flexible,2,1.0,1.0,218,51.0,509.4304235090752,20.0,0.0,1.0,1,100.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Smoking allowed, Elevator, Buzzer/wireless intercom, Heating, Washer, Dryer, Smoke detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Hot water",29409153,Vika,"Wolli Creek, NSW, Australia",Australia,AU,Point,151.15606,-33.93457,False
Convenient/Spacious/cozy apartment in Central,Apartment,Entire home/apt,Real Bed,1,7,strict_14_with_grace_period,3,1.0,1.0,77,581.0,800.0,200.0,250.0,2.0,6,97.0,"Air conditioning, Elevator, Shampoo, Hangers, Hair dryer, Self check-in, Keypad, Private living room, Hot water",22394673,Mei,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,Point,114.15371,22.27894,True
Stylish 2 Bed 2 Bath moments from Pitt Street Mall,Serviced apartment,Entire home/apt,Real Bed,1,1125,flexible,4,2.0,3.0,355,200.0,150.0,94.07480119284294,44.0,4.0,0,95.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Gym, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff, Hot water, Bed linens, Extra pillows and blankets, Microwave, Refrigerator, Dishwasher, Dishes and silverware, Oven, Stove, Patio or balcony, Luggage dropoff allowed, Long term stays allowed, Cleaning before checkout, Paid parking on premises",225993974,Oaks,"Haymarket, NSW, Australia",Australia,AU,Point,151.2073,-33.87989,False
The North Bondi Beachshack,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1.0,1.0,91,210.0,509.4304235090752,75.0,0.0,1.0,0,95.0,"Wifi, Kitchen, Pets allowed, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Iron, Laptop friendly workspace, Private entrance, Hot water",19417539,Alex,"Bondi Beach, NSW, Australia",Australia,AU,Point,151.27768,-33.88559,True
Ocean View Bondi Beach,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2,1.0,1.0,0,161.0,509.4304235090752,94.07480119284294,0.0,1.0,1,100.0,"TV, Wifi, Kitchen, Elevator, Washer, Smoke detector, Essentials, Shampoo, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Beachfront",77865375,Matt,"Bondi Beach, NSW, Australia",Australia,AU,Point,151.27668,-33.88763,True
Honolulu cottage,Tiny house,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,0.0,1.0,0,55.0,509.4304235090752,20.0,0.0,1.0,2,100.0,"Wifi, Free parking on premises, Smoking allowed, Washer, Dryer, Essentials, Hangers, Laptop friendly workspace, Self check-in, Lockbox, Private entrance",85033678,Gabrielle,"Honolulu, HI, United States",United States,US,Point,-157.86309,21.33584,True
City Centre Álvares Cabral - Up2Sleep,Apartment,Entire home/apt,Real Bed,1,1125,moderate,4,1.0,2.0,320,35.0,0.0,20.0,0.0,1.0,0,95.0,"TV, Cable TV, Wifi, Kitchen, Smoking allowed, Elevator, Washer, Essentials, Lock on bedroom door, Hangers, Laptop friendly workspace, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Luggage dropoff allowed, Long term stays allowed, Paid parking on premises",181832281,Joana,"Porto, Porto, Portugal",Portugal,PT,Point,-8.6182,41.1546,True
luxury apartment near Downtown,Apartment,Entire home/apt,Real Bed,2,16,flexible,5,2.0,2.0,90,200.0,509.4304235090752,94.07480119284294,0.0,1.0,1,95.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Elevator, Free street parking, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Lock on bedroom door, Iron, Laptop friendly workspace, Private living room, Outlet covers, Game console, Hot water, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Patio or balcony, Cleaning before checkout, Step-free access, Accessible-height bed, Host greets you",172923728,Alec,"Montréal, Québec, Canada",Canada,CA,Point,-73.60754,45.49448,True
Modern & sunny apt in Copacabana,Apartment,Entire home/apt,Real Bed,365,365,strict_14_with_grace_period,4,2.0,2.0,347,239.0,380.0,200.0,50.0,4.0,67,97.0,"Cable TV, Internet, Wifi, Air conditioning, Kitchen, Smoking allowed, Pets allowed, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Fire extinguisher, Essentials, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",14640683,Melina,"Rio de Janeiro, RJ, Brazil",Brazil,BR,Point,-43.18975294741321,-22.974542260494506,False
Renovated sunny 3 Bedroom apartment - easy parking,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,3.0,3.0,274,119.0,0.0,75.0,20.0,6.0,4,100.0,"TV, Wifi, Air conditioning, Kitchen, Heating, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Private entrance, Children’s books and toys, Crib, Room-darkening shades, Children’s dinnerware, Bed linens, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Step-free access",138070370,Philippe,"Montréal, Québec, Canada",Canada,CA,Point,-73.59754,45.53963,True
Quarto individual na Glória,Apartment,Private room,Real Bed,1,1125,flexible,3,1.0,2.0,0,93.0,0.0,0.0,20.0,1.0,0,95.0,"Wifi, Kitchen, Smoking allowed, Elevator, Washer, First aid kit, Essentials, Shampoo, Lock on bedroom door, Iron, Laptop friendly workspace",226841210,Italo,"Centro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.17648100350555,-22.915887527291694,True
Comfy private room in Causeway Bay #1 銅鑼灣時代廣場後面大房,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,0,502.0,509.4304235090752,160.0,0.0,1.0,0,95.0,"TV, Wifi, Air conditioning, Kitchen, Washer, Essentials, Shampoo, Lock on bedroom door, Laptop friendly workspace, Private entrance, Hot water, Microwave, Refrigerator, Stove, Long term stays allowed",127449394,Yuki,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,Point,114.1815,22.2803,True
GiGi Montréal,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,1.0,0,60.0,1000.0,30.0,15.0,1.0,1,100.0,"TV, Wifi, Kitchen, Free street parking, Heating, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Luggage dropoff allowed, Long term stays allowed, Other",228874149,Ginette,"Montréal, QC, Canada",Canada,CA,Point,-73.62721,45.54878,False
Recanto agua,Apartment,Private room,Real Bed,2,1125,flexible,2,1.0,1.0,82,25.0,509.4304235090752,94.07480119284294,0.0,1.0,2,100.0,"TV, Wifi, Kitchen, Free parking on premises, Breakfast, Heating, Fire extinguisher, Essentials, Lock on bedroom door, Hair dryer, Iron",71075317,Olga,"São João da Madeira, Aveiro, Portugal",Portugal,PT,Point,-8.49682,40.89102,True
Sydney City PrivateRM203 1min Station 2Bed sleeps4,House,Private room,Real Bed,1,1125,moderate,4,1.0,2.0,358,108.0,200.0,75.0,25.0,2.0,8,68.0,"Wifi, Air conditioning, Kitchen, Paid parking off premises, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Smart lock, Hot water, Bed linens, Extra pillows and blankets, Microwave, Refrigerator, Dishes and silverware, Cooking basics, Stove, Luggage dropoff allowed, Long term stays allowed, Cleaning before checkout",228751737,Ken,"Surry Hills, NSW, Australia",Australia,AU,Point,151.20777,-33.88444,True
Apartamento Qian Centro 1,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,1.0,354,59.0,0.0,15.0,10.0,2.0,0,95.0,"TV, Wifi, Air conditioning, Kitchen, Washer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad",74465992,Wei,"Porto, Porto, Portugal",Portugal,PT,Point,-8.60038,41.1467,True
Bright Cosy Flat in Batalha | Ace Location,Apartment,Entire home/apt,Real Bed,2,120,strict_14_with_grace_period,5,2.0,4.0,307,39.0,0.0,39.0,6.0,4.0,4,100.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Washer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private entrance, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Wide hallway clearance, Wide doorway, Wide doorway, Wide doorway, Wide entryway, Handheld shower head, Paid parking on premises",12730028,Host Wise,"Porto, Porto, Portugal",Portugal,PT,Point,-8.60641,41.14529,True
Furkan Flat 1+ 1 with Swimming Pool,Apartment,Entire home/apt,Real Bed,15,1125,moderate,3,1.0,2.0,365,148.0,1191.0,208.0,0.0,1.0,0,95.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Gym, Elevator, Heating, Dryer, Smoke detector, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Private entrance, Luggage dropoff allowed, Long term stays allowed",21844127,Ogün,"Maltepe, İstanbul, Turkey",Turkey,TR,Point,29.13654,40.9369,True
Private room/shared bath 5min walk 2 waikiki beach,Apartment,Private room,Real Bed,3,60,strict_14_with_grace_period,2,1.0,1.0,326,69.0,509.4304235090752,29.0,0.0,2.0,8,98.0,"TV, Wifi, Air conditioning, Kitchen, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hair dryer, Iron, Laptop friendly workspace, Hot water",160611816,Nui,"Honolulu, HI, United States",United States,US,Point,-157.81814,21.2739,False
ÖRNEK ORGANİSATİON  Touristendienst,Apartment,Shared room,Real Bed,5,1125,flexible,4,1.0,2.0,365,111.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"TV, Wifi, Air conditioning, Kitchen, Breakfast, Heating, Washer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace",226143832,Mitat,"Beyoğlu, İstanbul, Turkey",Turkey,TR,Point,28.97847,41.03542,True
İstanbul Galata Residences,Boutique hotel,Private room,Real Bed,3,34,flexible,2,1.0,1.0,358,79.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"TV, Wifi, Air conditioning, Free parking on premises, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private entrance",3995118,Turan,"Beyoğlu, İstanbul, Turkey",Turkey,TR,Point,28.97423,41.02516,True
Appartement tout équipé dans le plateau,Apartment,Entire home/apt,Real Bed,3,11,moderate,6,3.0,3.0,0,85.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Wifi, Kitchen, Heating, Washer, Smoke detector, Shampoo, Hair dryer, Laptop friendly workspace, Private entrance, Host greets you",19536497,Michaël,"Montréal, Québec, Canada",Canada,CA,Point,-73.58532,45.51718,True
Scandinave 2bedrooms  Saint Francois Xavier-402,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,2.0,3.0,311,129.0,250.0,89.0,40.0,4.0,5,96.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Luggage dropoff allowed, Long term stays allowed, Paid parking on premises",212306438,Kevin,"Montréal, Québec, Canada",Canada,CA,Point,-73.55683,45.50405,True
Venha aproveitar a beleza das praia do Rio,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,1.0,179,119.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Paid parking off premises, Smoking allowed, Free street parking, Lock on bedroom door, Private living room, Private entrance, Hot water, Bed linens, Extra pillows and blankets",229293807,Philippe,"Recreio dos Bandeirantes, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.47282451720555,-23.02797981428597,False
Penthouse Downtown with private indoor parking,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,2.0,2.0,6,127.0,0.0,40.0,30.0,2.0,9,100.0,"TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Elevator, Heating, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Hot water, Bed linens, Extra pillows and blankets",41293936,Alex,"Montréal, Québec, Canada",Canada,CA,Point,-73.56911,45.51214,True
Price cheap Economy Studio in Tsim Sha Tsui MTR,Apartment,Private room,Real Bed,1,1124,strict_14_with_grace_period,2,1.0,1.0,8,267.0,509.4304235090752,50.0,530.0,2.0,6,90.0,"TV, Wifi, Air conditioning, Elevator, Heating, Washer, Safety card, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Laptop friendly workspace, Self check-in, Smart lock, Window guards, Room-darkening shades, Hot water, Bed linens, Extra pillows and blankets, Refrigerator, Luggage dropoff allowed, Long term stays allowed, Wide clearance to shower, toilet, Handheld shower head, Paid parking on premises",141432486,Jack,"Hong Kong, 九龍, Hong Kong",Hong Kong,HK,Point,114.17318,22.2978,False
Apartamento coração Ipanema,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,5,2.0,5.0,356,500.0,509.4304235090752,150.0,0.0,1.0,0,95.0,"TV, Wifi, Air conditioning, Kitchen, Family/kid friendly, Washer, Essentials",15474915,Debora Anne,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.202301523927915,-22.97935864518836,False
Room with natural lighting,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,2.0,85,25.0,4398.0,10.0,10.0,1.0,2,80.0,"TV, Wifi, Air conditioning, Kitchen, Breakfast, Elevator, Heating, Washer, Essentials, Shampoo, Hangers, Iron",225865197,Jaime,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.16969,41.37351,True
Luxurious and Modern Living - Oxford Street,Apartment,Private room,Real Bed,1,4,strict_14_with_grace_period,2,1.0,1.0,1,100.0,0.0,30.0,25.0,1.0,15,93.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Gym, Elevator, Hot tub, Heating, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, BBQ grill, Patio or balcony, Garden or backyard, Beach essentials, Wide hallway clearance, Step-free access, Wide doorway, Flat path to front door, Well-lit path to entrance, Disabled parking spot, Step-free access, Wide doorway, Wide clearance to bed, Accessible-height bed, Step-free access, Wide doorway, Accessible-height toilet, Wide clearance to shower, toilet, Step-free access, Wide entryway, Host greets you, Pool with pool hoist, Roll-in shower",27819655,Nick,"Surry Hills, NSW, Australia",Australia,AU,Point,151.21275,-33.8788,True
Alcove Studio in Downtown Manhattan,Apartment,Entire home/apt,Real Bed,2,6,moderate,3,0.0,1.0,0,350.0,300.0,60.0,0.0,2.0,12,92.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Smoke detector, Essentials",15355526,Nattie,"New York, NY, United States",United States,US,Point,-73.99464,40.73893,True
APARTAMENTO INTEIRO SUPER ACONCHEGANTE NA ZONA SUL,Condominium,Entire home/apt,Real Bed,1,1125,flexible,6,3.0,3.0,168,500.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Gym, Elevator, Hot tub, Heating, Washer, Essentials, Lock on bedroom door, Hangers, Laptop friendly workspace, Private entrance",228237182,Eliane,"Catete, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.179171485409476,-22.928545087819728,True
Chambre dans grand logement proche du métro,Apartment,Private room,Real Bed,2,1125,moderate,2,1.0,1.0,0,30.0,0.0,10.0,7.0,1.0,0,95.0,"TV, Wifi, Kitchen, Heating, Washer, Dryer, Essentials, Hot water, Host greets you",42182873,Dorothee,"Montréal, QC, Canada",Canada,CA,Point,-73.55042,45.54524,False
Room for 2 people with  bathroom  Sagrada Familia,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,107,42.0,509.4304235090752,10.0,0.0,1.0,14,97.0,"Wifi, Kitchen, Paid parking off premises, Heating, Washer, Dryer, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove",219413741,Evgeny,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.17491,41.40634,True
"Sands Of Kahana 234 - 2 Bedroom, 2 Bathroom | Sleeps 6",Condominium,Entire home/apt,Real Bed,4,180,super_strict_60,6,2.0,2.0,215,515.0,0.0,339.0,0.0,6.0,0,95.0,"TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Gym, Elevator, Hot tub, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Private entrance, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill",146182295,Kelly,"Lahaina, HI, United States",United States,US,Point,-156.68012,20.96898,False
